season_index,per90_goals,per90_assists,per90_xg_shot,per90_xg_assist,per90_shots,per90_head_shots,per90_received_pass,per90_passes,per90_forward_passes,per90_back_passes,per90_lateral_passes,per90_long_passes,per90_smart_passes,per90_progressive_passes,per90_passes_to_final_third,per90_key_passes,per90_through_passes,per90_crosses,per90_shot_assists,rate_successful_passes,rate_successful_progressive_passes,per90_dribbles,per90_progressive_run,per90_accelerations,rate_successful_dribbles,per90_touch_in_box,per90_losses,per90_own_half_losses,per90_dangerous_own_half_losses,per90_recoveries,per90_opponent_half_recoveries,per90_dangerous_opponent_half_recoveries,per90_interceptions,per90_clearances,per90_shots_blocked,per90_defensive_duels,per90_offensive_duels,per90_aerial_duels,per90_pressing_duels,per90_loose_ball_duels,per90_sliding_tackles,per90_dribbles_against,rate_defensive_duels_won,rate_offensive_duels_won,rate_aerial_duels_won,per90_fouls,per90_fouls_suffered,per90_yellow_cards
1,0.011270460438975676,0.05016242039170695,0.0028696693711881944,0.05397997971446501,0.12279683425124996,0.012929394203400555,-0.3633016573449995,-0.1803640882199997,0.01109240482209906,-0.22723576747500004,-0.24918224762000005,0.0061908494423510456,1.4068935409250023,0.1380355365059999,0.12602148320624987,0.017649901953859397,0.6916803753850006,0.16856041622724977,0.12950906545524998,-0.24331359582,0.4074157329875011,0.3823865023399997,-0.09753553076052492,0.25227804637250045,-0.009748747208903888,-0.01422686127380021,0.5171443417225001,0.25804294517499976,0.051412810619359976,0.06870697101214993,0.028161279161846815,0.06150470381467686,0.3335529055874998,0.27926089494499995,-0.07437705863474486,0.259681048925,0.1949691700649998,0.4918110269250006,-0.3380068792274991,0.5735749374574998,0.4439870883924994,0.3991700979300002,-0.2226385601649996,0.032118706957715466,-0.08799447216389995,0.19956188822349977,0.1898512393312499,0.17450884137875022
2,0.010404088596900308,0.12704921739530026,0.011247717976015825,0.10403311082480006,0.08235469018149986,-0.002475632571936104,-0.2173192012199998,-0.07193356903042486,0.07502229279450014,-0.04650602198405749,-0.1077912155080003,0.10233617039449992,0.8984539705050005,0.2862787548050009,0.18422183262000075,0.03621517260894177,0.2466981325450001,0.11164172080774992,0.13034304147625017,-0.24910803921250055,0.3625546463524999,0.4783533365174996,-0.37913079364000074,0.09245950632926996,0.07632809416725511,0.007876158240659566,0.5255851514075001,0.2517469198899993,0.01608638748577628,0.17105263923000008,0.11068613826175,0.04381103767955271,0.39081874596499894,0.16057223482425012,-0.07083152701586802,0.6099376324099992,0.3431514013324995,0.2677119500599996,-0.5950092537174999,0.3869326598375001,0.5045892695299992,0.5948549619549983,-0.17792095924224985,0.13228011187900007,0.009452532447715503,0.16597394650175043,0.11912068489275024,0.21367867868175003
3,0.06569693806355383,0.1334983264557498,0.013073408542317325,0.03540961589434575,0.06055895082100772,-3.552381262578245e-4,-0.1322021320922499,-0.031074613815962545,0.0454017291028876,0.030229232974297457,-0.06708361581674999,0.06321174818969497,0.36146705244999977,0.2505524156624994,0.16223333143649987,0.051088866159648146,0.09436751324662492,0.06849021585569505,0.08736610142037508,-0.12323435835675,0.3464403812175021,0.29606967458749994,-0.33268062016000066,-0.003133129398094259,-0.04866084351215741,-0.05995426924369992,0.2267505660975,-0.0032441347313839977,-0.09089531098981492,0.06221346026165001,0.04531765321182872,-0.039275139325102015,0.1084395880105001,0.03360508358479903,-0.1228072288535,0.23312609249749985,0.21279403930500004,0.06524975326508756,-0.6115220540624994,0.1502891305944999,0.3181522548725,0.23149288105249985,0.046878040968199974,0.09004071616952228,0.004529965756501693,0.1731209829665006,0.12923402357825012,0.09812664419514489
4,0.0027485965980198466,0.058594269627517424,-0.0057292512953506436,0.04984501292022869,0.02138913078788423,0.0047488429795736605,0.017479553309827523,0.063391721140825,0.04794680478651499,0.11277079849225004,0.033416828464289464,0.051323263720177474,0.24317976140749956,0.1747344218574997,0.07981057677007508,0.010241320164467506,0.1599851091197502,0.08069363158994997,0.07774152842449523,-0.005224354048608998,0.15388526179549974,0.22678763427249957,0.08199316226724988,0.1564646479399995,-0.06283490465013247,-0.02333935097815652,0.10733834594300018,0.04861265372524693,0.008204645805379246,0.011655074449144988,0.02874433597291523,0.02681048687257674,0.13633428032024938,0.03287900071980673,-0.06651716813921908,0.203983884055,0.13975018336599976,-0.02647930476470099,-0.46922078141749857,0.13589638881999994,0.20704511304450016,0.22992063629500037,0.09120075345511752,0.12364166380625016,-0.04025017598076021,0.12289725926775016,0.10025089154137516,0.017766806848307982
5,-0.008710323094329142,-0.04436522756920509,0.012452309879394696,0.06460149304490202,0.007000283418804492,0.014970766168187669,-0.006361392228805251,0.014354274932429412,0.017824546401320772,0.02736610020318623,0.009398370526357235,0.010252001840952709,0.08762012447747501,0.1212675249675002,0.028303377474966643,1.0049939796177474e-4,0.09211107418425005,0.05575636364097421,0.08746717305039986,-0.028575517404607863,0.11241892924362484,0.14566998356374977,0.08700194122174992,0.34203754183500107,-0.16566440468600033,0.011993044583977113,-0.02703304665957719,0.008913333833144509,0.05711977434077557,0.011777569293406473,0.020546489370914384,0.10105238541438263,0.08129260733550005,2.9679422201132536e-4,0.016021440934006304,0.1027702887812502,0.05486233025504988,0.0528998711924331,0.4609836305024998,0.13120209367200011,0.021982308508975253,0.1826370229832499,0.16811036539150023,0.08495764352509766,-0.09495031098717475,0.06839498965087251,0.07955970464932481,0.04415176186759175
6,-0.016921001337659242,-0.07549535767425276,-0.018725263673825977,-0.04622869545572906,-0.06369936770594993,-0.01602278596433913,-0.05826632284655497,-0.05724470611319248,-0.04493254289884505,-0.07156617500572518,0.03245726321275177,0.007742304398745261,-0.02162556875869045,-0.033132430134457005,-0.07216130973110008,-0.05764265692096236,0.06684727297515722,-0.017743916517054016,-0.06619688995200995,-0.10378804875599967,-0.08798459701038983,0.0022750347104336993,0.08657589700725014,0.3102493479000013,-0.060060367905402874,-0.01880385043024807,-0.033866613551269784,0.005299397579871894,-0.13759467167240036,-0.06741608805384997,-0.09099195405300003,-0.059363607277492673,-0.02960838454511251,-0.0814764945828252,-0.05417753230917182,-0.131777569348,-0.05331720271477487,0.056512612062149886,0.486895611125,-0.03292961939177099,-0.0645583244187899,-0.026239172493028328,-0.20541130576750025,0.03912204371345104,0.1184146859389996,0.08085088651671776,0.047730344398228264,0.013570351559990245
7,-0.01377646707012477,-0.03852772924316401,-0.009801257052583764,-0.015172675729559814,-0.10737968013800007,-0.007264177646740676,0.1314067795977501,0.09903882951724974,0.005961991600902702,0.07707733980347971,0.14555651823725033,0.005581976272915811,-0.029877445781419706,-0.07164987504400003,-0.03340681360940928,-0.028478664552943248,0.16735357152525002,-0.011221046774347506,-0.09051579621199986,0.079297028716275,-0.08666577344956254,-0.018874054313877255,0.15123808186000023,0.3102499442774994,0.08578858128382749,0.008859522870979443,-0.20777466690250007,-0.13880478212500005,-0.15640577182625,-0.11585603870399998,-0.09474519925267488,-0.11239316643906536,-0.017918053680354755,-0.06031415426075003,-0.13063875842000022,-0.07720403137500505,-0.04573764923595008,-0.022933949425529215,0.7337893932149989,0.1384007762384998,-0.16937053629349974,-0.02629823296806326,-1.2221745461250006,0.09979465823135024,0.08684403300149991,-0.00438124741327587,0.011643962241708229,-0.122309240748825
8,-0.015026469645380009,-0.009076723365198255,-0.007962005265703584,-0.03810994009081802,-0.016617227873450286,0.005556509442688667,0.056890521040125,0.018584334050125297,-0.030987765942597258,-0.008072759130261538,0.03343772691592725,-0.027341839672076613,-0.21113209274000083,-0.12698011615350027,-0.09561572746000002,0.0034678864373304764,-0.022890289118896144,-0.04001285753881344,-0.05793116638794748,0.03898882331747741,-0.1524580008260002,-0.04223046259587491,0.10373446255749988,0.11905301277475006,-0.08204634392141986,0.0277233155233585,-0.14482736474424995,-0.05676705714300472,0.015285736639581077,0.004265636759595257,0.03947065727043498,0.022031227405604217,-0.045948908043673235,0.014801970911874593,0.08115935301646737,-0.041904181771441715,-0.04653960478834999,-0.06954849857947507,0.5023140588749995,0.25494865594999994,-0.1025810008593751,-0.012720901756480324,0.2416439844624997,-0.04575392594270996,0.02443974883271408,-0.04539572747397497,-0.01264431171616022,0.012970485062048455
9,-0.008996557042804545,-0.020938446490946297,0.012696133141153204,6.458259751993604e-4,0.025844155644514772,0.006841726981764687,0.07165717429695004,8.750447615285702e-4,-0.04798670671367994,0.004554752240012315,0.025874721044274424,-0.06764680136379989,-0.33934172800500206,-0.1869872825374999,-0.11854907398299998,0.07956059919362514,-0.04505045677884463,-0.05549329261604,-0.005418782916515416,0.1087354128885002,-0.1352810023839999,-0.1730336561549999,0.1325525929285001,-0.06266167862484695,-0.007194415251292495,0.036135040506255475,-0.28399551502999965,-0.1475715614909999,0.05216370864507437,-0.001867056306763601,0.005221701141555744,0.04518905969286963,-0.12710906037900033,-0.06921849692617754,0.12035866819025012,-0.13274199276600002,-0.12295796444575012,-0.1628066808929997,0.39231752974000056,-0.2133028376225004,-0.19112011999250056,-0.14186288902300018,0.2542606763500006,-0.04951539143742495,-0.0016204400995790042,-0.11627576098949986,-0.11619990528625018,-0.04622405982797016
10,-7.989042516981734e-4,-0.012678163229821003,0.006257040477422064,-0.01915389351261678,-0.01546345233835528,0.005455981142830424,0.07532080518875,-0.012202252041242782,-0.07631047182749987,-0.00435593533842559,0.005041065532818929,-0.07031531051757506,-0.547305724999998,-0.23112134501749987,-0.14866919782350005,0.024802485200425835,-0.2205496167099995,-0.060080144849934985,-0.04689815456845853,0.14657221682200014,-0.24490688128750052,-0.24131419934499976,0.07166513671556239,-0.22510204818000015,-0.03832285913503656,0.021124269727667077,-0.3065044446375012,-0.1885096121782505,-0.05709303766782016,-0.03538516946832635,-0.013833771123159026,0.001483767853727249,-0.23187617717499953,-0.0906766584325,0.06556575120153402,-0.17091159591174918,-0.12926081936974998,-0.1717586119875001,0.2761536766525,-0.28674427448500034,-0.2557314331374997,-0.27674897230749995,0.3338858641600002,-0.16509176353399976,-0.015429306312805225,-0.15679815802749986,-0.1645131863597503,-0.07346490264878254
